Date,Exercise,Weight,Set_1_reps,Set_2_reps,Set_3_reps
2024-04-17,Chest Press,Level 5,10,10,10
2024-04-25,Chest Press,Level 5,10,10,10
2024-04-25,Shoulder Press,Level 5,10,10,none
2024-04-27,Bicep Curl,25,10,10,10
2024-04-27,Tricep Curl,25,10,10,10
2024-04-29,Chest Press,Level 6,10,10,10
2020-04-29,Shoulder Press,Level 6,7,7,7
2024-05-01,Bicep Curl,25,12,12,12
2024-05-06,Bicep Curl,25,12,12,12
2024-05-08,Bicep Curl,25,10,10,8
2024-05-08,Tricep Curl,25,10,10,8
2024-05-10,Bicep Curl,25,20,17,15
2024-05-10,Tricep Curl,25,16,15,14
2024-05-13,Chest Press,unknown,unknown,unknown,unknown
2024-05-13,Shoulder Press,unknown,unknown,unknown,unknown
2024-05-13,Chest Fly,unknown,unknown,unknown,unknown
2024-05-13,Lateral Raise,unknown,unknown,unknown,unknown
2024-05-17,Bicep Left,25,17,17,15
2024-05-17,Bicep Right,25,20,17,15
2024-05-17,Tricep Curl,25,20,18,18
2024-05-20,Chest Press,Level 8,10,6,10
2024-05-20,Shoulder Press,Level 8,6,12,10
2024-05-24,Bicep Left,25,20,20,18
2024-05-24,Bicep Right,25,20,19,18
2024-05-24,Tricep Curl,25,20,20,20
2024-05-31,Bicep Left,25,22,22,18
2024-05-31,Bicep Right,25,22,22,20
2024-05-31,Tricep Curl,25,25,25,25
2024-06-04,Chest Press,Level 9,15,10,7
2024-06-04,Shoulder Press,Level 8,8,none,none
2024-06-04,Shoulder Press,Level 7,none,7,7
