timestamp,average_value,lower_bound,upper_bound
2024-01-15T00:00:00Z,92.4,90.5,94.6
2024-01-16T00:00:00Z,95.0,91.1,96.8
2024-01-17T00:00:00Z,95.2,91.8,98.4
2024-01-18T00:00:00Z,95.3,92.1,98.2
2024-01-19T00:00:00Z,96.3,94.5,99.7
2024-01-21T00:00:00Z,96.3,93.3,99.4
2024-01-22T00:00:00Z,95.1,92.7,98.5
2024-01-23T00:00:00Z,95.2,93.1,96.3
2024-01-24T00:00:00Z,96.1,93.5,99.3
2024-01-25T00:00:00Z,92.9,91.6,94.3
2024-01-26T00:00:00Z,95.6,93.5,98.5
2024-01-27T00:00:00Z,94.3,93.0,95.9
2024-01-28T00:00:00Z,95.6,93.9,97.5
2024-01-29T00:00:00Z,95.4,92.2,96.7
2024-01-30T00:00:00Z,95.5,93.9,96.5
2024-01-31T00:00:00Z,94.9,93.0,97.7
2024-02-01T00:00:00Z,95.2,93.9,96.6
2024-02-02T00:00:00Z,96.3,93.7,99.8
2024-02-03T00:00:00Z,94.8,93.0,96.7
2024-02-04T00:00:00Z,95.2,93.9,97.0
2024-02-05T00:00:00Z,94.8,93.8,95.8
2024-02-06T00:00:00Z,94.5,90.3,98.1
2024-02-07T00:00:00Z,95.0,92.5,96.4
2024-02-08T00:00:00Z,94.6,90.9,98.4
2024-02-09T00:00:00Z,95.8,93.5,98.6
2024-02-10T00:00:00Z,98.2,98.2,98.7
2024-02-11T00:00:00Z,95.9,94.6,98.0
2024-02-12T00:00:00Z,95.8,93.7,99.7
2024-02-13T00:00:00Z,97.0,94.9,100.0
2024-02-14T00:00:00Z,94.2,92.9,96.0
2024-02-15T00:00:00Z,95.5,93.8,98.4
2024-02-16T00:00:00Z,93.4,90.0,97.0
2024-02-17T00:00:00Z,95.9,94.5,98.5
2024-02-18T00:00:00Z,95.1,94.6,95.2
2024-02-19T00:00:00Z,95.6,94.3,98.2
2024-02-20T00:00:00Z,96.1,95.0,97.4
2024-02-21T00:00:00Z,95.5,92.7,97.4
2024-02-22T00:00:00Z,95.4,94.0,97.5
2024-02-23T00:00:00Z,95.6,94.1,98.0
2024-02-24T00:00:00Z,96.2,94.4,100.0
2024-02-25T00:00:00Z,94.9,92.1,96.7
2024-02-26T00:00:00Z,96.2,94.8,97.8
2024-02-27T00:00:00Z,94.8,92.1,97.3
2024-02-28T00:00:00Z,96.5,95.0,98.8
2024-03-01T00:00:00Z,96.2,94.6,98.1
2024-03-02T00:00:00Z,95.7,94.8,96.7
2024-03-03T00:00:00Z,95.4,95.2,97.0
2024-03-04T00:00:00Z,95.3,94.1,98.7
2024-03-05T00:00:00Z,95.1,93.6,96.9
2024-03-06T00:00:00Z,96.7,95.5,98.6
2024-03-07T00:00:00Z,94.5,90.7,97.8
2024-03-08T00:00:00Z,95.8,94.4,97.8
2024-03-09T00:00:00Z,95.3,93.8,96.7
2024-03-10T00:00:00Z,96.2,94.9,97.3
2024-03-11T00:00:00Z,94.9,92.0,96.8
2024-03-12T00:00:00Z,96.1,92.8,98.4
2024-03-13T00:00:00Z,94.6,91.8,97.4
2024-03-14T00:00:00Z,96.0,93.5,99.1
2024-03-15T00:00:00Z,97.2,95.2,99.4
2024-03-16T00:00:00Z,95.9,93.3,98.1
2024-03-17T00:00:00Z,95.5,92.8,97.6
2024-03-18T00:00:00Z,95.2,92.9,96.1
2024-03-19T00:00:00Z,95.2,93.2,97.2
2024-03-20T00:00:00Z,95.4,93.4,98.9
2024-03-22T00:00:00Z,95.9,94.5,98.9
2024-03-23T00:00:00Z,95.0,92.0,96.3
2024-03-24T00:00:00Z,95.4,93.3,98.8
2024-03-25T00:00:00Z,95.4,93.6,96.9
2024-03-26T00:00:00Z,94.9,92.6,97.3
2024-03-27T00:00:00Z,94.9,93.3,96.7
2024-03-28T00:00:00Z,94.8,93.8,95.6
2024-03-29T00:00:00Z,94.9,93.1,95.7
2024-03-30T00:00:00Z,96.3,94.4,100.0
2024-03-31T00:00:00Z,95.2,93.7,97.2
2024-04-01T00:00:00Z,95.6,94.7,96.9
2024-04-02T00:00:00Z,96.1,94.6,97.5
2024-04-03T00:00:00Z,95.2,94.3,95.8
2024-04-04T00:00:00Z,95.3,92.6,96.6
2024-04-05T00:00:00Z,94.3,92.3,96.7
2024-04-06T00:00:00Z,95.6,94.8,96.4
2024-04-07T00:00:00Z,95.4,94.7,96.1
2024-04-08T00:00:00Z,94.7,93.5,95.9
2024-04-09T00:00:00Z,96.1,94.7,98.9
2024-04-10T00:00:00Z,95.4,93.9,97.0
2024-04-11T00:00:00Z,94.6,93.4,96.2
2024-04-12T00:00:00Z,95.1,94.2,96.9
2024-04-13T00:00:00Z,94.9,93.0,96.4
2024-04-14T00:00:00Z,96.8,95.1,100.0
2024-04-15T00:00:00Z,94.2,92.9,96.1
2024-04-16T00:00:00Z,95.5,93.7,97.2
2024-04-17T00:00:00Z,95.2,93.7,96.5
2024-04-18T00:00:00Z,95.7,94.7,96.8
2024-04-19T00:00:00Z,94.7,93.4,96.5
2024-04-20T00:00:00Z,95.1,93.8,95.9
2024-04-21T00:00:00Z,94.9,93.8,96.6
2024-04-22T00:00:00Z,95.4,93.2,97.6
2024-04-23T00:00:00Z,94.5,93.3,95.9
2024-04-24T00:00:00Z,96.0,95.0,97.7
